"","Region","PolicyYear","NumPolicies","NumClaims"
"121","West",2000,9,56
"122","West",2003,8,45
"123","West",2009,8,40
"124","West",2002,8,35
"125","West",2001,8,47
"126","West",2006,8,47
"127","West",2010,8,51
"128","West",2007,8,53
"129","West",2008,8,36
"130","West",2005,8,43
"131","West",2000,8,45
"132","West",2004,8,41
"133","North Central",2003,115,1146
"134","North Central",2002,114,1139
"135","North Central",2001,113,1204
"136","North Central",2009,121,1269
"137","North Central",2007,119,1143
"138","North Central",2008,120,1228
"139","North Central",2005,117,1258
"140","North Central",2004,116,1206
"141","North Central",2010,122,1184
"142","North Central",2000,112,1213
"143","North Central",2006,118,1254
"144","North Central",2003,54,352
"145","North Central",2007,56,353
"146","North Central",2002,54,369
"147","North Central",2006,55,419
"148","North Central",2000,53,375
"149","North Central",2005,55,376
"150","North Central",2001,53,384
"151","North Central",2010,57,406
"152","North Central",2004,54,393
"153","North Central",2009,56,410
"154","North Central",2008,56,371
"155","North Central",2003,29,67
"156","North Central",2002,29,61
"157","North Central",2006,30,75
"158","North Central",2007,30,60
"159","North Central",2001,29,65
"160","North Central",2009,30,74
"161","North Central",2000,29,62
"162","North Central",2004,30,66
"163","North Central",2005,30,66
"164","North Central",2010,30,65
"165","North Central",2008,30,83
"166","North Central",2002,23,100
"167","North Central",2000,23,107
"168","North Central",2007,24,117
"169","North Central",2003,23,102
"170","North Central",2006,24,104
"171","North Central",2010,24,116
"172","North Central",2005,24,112
"173","North Central",2009,24,94
"174","North Central",2001,23,107
"175","North Central",2008,24,111
"176","North Central",2004,24,101
"177","South",2004,36,347
"178","South",2003,36,395
"179","South",2000,34,368
"180","South",2006,37,391
"181","South",2010,40,430
"182","South",2007,38,389
"183","South",2002,35,345
"184","South",2009,39,391
"185","South",2008,39,443
"186","South",2001,35,372
"187","South",2005,37,408
"188","South",2010,50,632
"189","South",2003,41,514
"190","South",2006,45,558
"191","South",2008,47,612
"192","South",2001,39,465
"193","South",2009,49,628
"194","South",2000,38,509
"195","South",2004,42,610
"196","South",2007,46,590
"197","South",2002,40,573
"198","South",2005,44,586
"199","Northeast",2007,12,29
"200","Northeast",2003,11,37
"201","Northeast",2005,11,31
"202","Northeast",2004,11,26
"203","Northeast",2001,11,30
"204","Northeast",2006,11,34
"205","Northeast",2010,12,38
"206","Northeast",2009,12,32
"207","Northeast",2008,12,34
"208","Northeast",2002,11,33
"209","Northeast",2000,11,29
"210","South",2007,44,385
"211","South",2006,43,379
"212","South",2009,44,359
"213","South",2008,44,386
"214","South",2005,43,358
"215","South",2003,42,351
"216","South",2000,41,369
"217","South",2004,42,354
"218","South",2010,45,378
"219","South",2002,42,376
"220","South",2001,41,342
"221","Northeast",2009,64,233
"222","Northeast",2005,61,195
"223","Northeast",2010,65,213
"224","Northeast",2008,63,191
"225","Northeast",2006,62,204
"226","Northeast",2007,63,206
"227","Northeast",2001,59,227
"228","Northeast",2003,60,189
"229","Northeast",2000,58,213
"230","Northeast",2004,61,195
"231","Northeast",2002,59,177
"232","North Central",2007,97,1067
"233","North Central",2002,93,1013
"234","North Central",2005,95,1064
"235","North Central",2000,91,1039
"236","North Central",2009,99,1071
"237","North Central",2001,92,1024
"238","North Central",2010,100,1130
"239","North Central",2006,96,1044
"240","North Central",2004,94,985
"241","North Central",2008,98,1133
"242","North Central",2003,93,1008
"243","North Central",2002,39,91
"244","North Central",2007,41,119
"245","North Central",2001,39,93
"246","North Central",2005,40,104
"247","North Central",2006,40,93
"248","North Central",2010,41,82
"249","North Central",2000,39,97
"250","North Central",2008,41,82
"251","North Central",2009,41,97
"252","North Central",2004,40,86
"253","North Central",2003,40,84
"254","South",2002,24,316
"255","South",2006,27,343
"256","South",2001,24,283
"257","South",2005,26,332
"258","South",2000,23,292
"259","South",2007,27,342
"260","South",2010,29,364
"261","South",2009,28,355
"262","South",2004,25,274
"263","South",2003,25,288
"264","South",2008,28,352
"265","North Central",2002,49,464
"266","North Central",2010,52,465
"267","North Central",2005,50,454
"268","North Central",2006,50,449
"269","North Central",2003,49,486
"270","North Central",2001,48,442
"271","North Central",2000,48,424
"272","North Central",2007,51,469
"273","North Central",2009,52,476
"274","North Central",2004,50,423
"275","North Central",2008,51,488
"276","West",2002,7,29
"277","West",2006,7,31
"278","West",2001,7,46
"279","West",2003,7,35
"280","West",2010,7,33
"281","West",2009,7,29
"282","West",2007,7,33
"283","West",2004,7,35
"284","West",2005,7,41
"285","West",2000,7,39
"286","West",2008,7,41
"287","North Central",2002,15,38
"288","North Central",2007,16,49
"289","North Central",2006,16,42
"290","North Central",2001,15,44
"291","North Central",2000,15,39
"292","North Central",2003,15,37
"293","North Central",2010,16,57
"294","North Central",2005,15,40
"295","North Central",2009,16,48
"296","North Central",2004,15,34
"297","North Central",2008,16,41
"298","West",2007,6,54
"299","West",2006,6,70
"300","West",2001,6,71
"301","West",2002,6,64
"302","West",2010,6,74
"303","West",2000,6,72
"304","West",2004,6,65
"305","West",2005,6,69
"306","West",2009,6,75
"307","West",2003,6,63
"308","West",2008,6,73
"309","Northeast",2007,8,24
"310","Northeast",2002,8,31
"311","Northeast",2006,8,33
"312","Northeast",2004,8,47
"313","Northeast",2000,8,30
"314","Northeast",2009,9,31
"315","Northeast",2001,8,26
"316","Northeast",2010,9,39
"317","Northeast",2005,8,18
"318","Northeast",2008,8,18
"319","Northeast",2003,8,21
"320","Northeast",2008,80,402
"321","Northeast",2006,78,421
"322","Northeast",2010,81,409
"323","Northeast",2007,79,403
"324","Northeast",2009,81,445
"325","Northeast",2003,75,415
"326","Northeast",2004,76,392
"327","Northeast",2002,75,376
"328","Northeast",2000,73,389
"329","Northeast",2005,77,403
"330","Northeast",2001,74,358
"331","West",2009,13,115
"332","West",2008,13,121
"333","West",2000,11,101
"334","West",2006,13,135
"335","West",2010,14,128
"336","West",2007,13,134
"337","West",2005,12,91
"338","West",2002,11,130
"339","West",2001,11,111
"340","West",2004,12,121
"341","West",2003,12,120
"342","Northeast",2010,208,2322
"343","Northeast",2008,202,2243
"344","Northeast",2002,186,2086
"345","Northeast",2001,184,1984
"346","Northeast",2000,181,2019
"347","Northeast",2004,191,2115
"348","Northeast",2009,205,2263
"349","Northeast",2006,197,2083
"350","Northeast",2005,194,2129
"351","Northeast",2007,200,2219
"352","Northeast",2003,189,2031
"353","South",2005,59,640
"354","South",2008,62,676
"355","South",2003,57,655
"356","South",2006,60,678
"357","South",2010,65,713
"358","South",2001,55,585
"359","South",2009,63,726
"360","South",2002,56,618
"361","South",2004,58,639
"362","South",2007,61,657
"363","South",2000,54,589
"364","North Central",2005,6,12
"365","North Central",2009,6,9
"366","North Central",2002,6,5
"367","North Central",2001,6,7
"368","North Central",2008,6,5
"369","North Central",2003,6,5
"370","North Central",2000,6,11
"371","North Central",2004,6,8
"372","North Central",2010,6,9
"373","North Central",2007,6,5
"374","North Central",2006,6,6
"375","North Central",2006,112,846
"376","North Central",2002,109,799
"377","North Central",2009,115,800
"378","North Central",2001,108,818
"379","North Central",2005,111,826
"380","North Central",2000,107,793
"381","North Central",2004,110,810
"382","North Central",2007,113,838
"383","North Central",2003,110,798
"384","North Central",2010,116,857
"385","North Central",2008,114,862
"386","South",2002,28,206
"387","South",2000,27,162
"388","South",2005,29,184
"389","South",2006,29,186
"390","South",2010,30,181
"391","South",2001,27,171
"392","South",2009,30,212
"393","South",2003,28,175
"394","South",2004,28,182
"395","South",2008,29,223
"396","South",2007,29,171
"397","West",2002,23,100
"398","West",2001,23,81
"399","West",2006,24,107
"400","West",2000,23,88
"401","West",2009,24,87
"402","West",2005,24,87
"403","West",2010,24,107
"404","West",2004,24,113
"405","West",2008,24,103
"406","West",2003,23,94
"407","West",2007,24,120
"408","Northeast",2004,124,787
"409","Northeast",2010,131,777
"410","Northeast",2000,119,643
"411","Northeast",2006,126,742
"412","Northeast",2005,125,706
"413","Northeast",2002,121,799
"414","Northeast",2003,123,740
"415","Northeast",2001,120,755
"416","Northeast",2009,130,782
"417","Northeast",2008,129,765
"418","Northeast",2007,128,788
"419","Northeast",2006,10,25
"420","Northeast",2010,10,22
"421","Northeast",2005,10,26
"422","Northeast",2002,9,26
"423","Northeast",2003,9,25
"424","Northeast",2000,9,17
"425","Northeast",2004,9,25
"426","Northeast",2009,10,27
"427","Northeast",2008,10,22
"428","Northeast",2001,9,14
"429","Northeast",2007,10,29
"430","South",2010,35,425
"431","South",2000,28,317
"432","South",2003,30,348
"433","South",2005,31,373
"434","South",2006,32,356
"435","South",2009,34,383
"436","South",2004,31,341
"437","South",2001,29,346
"438","South",2008,34,362
"439","South",2002,29,337
"440","South",2007,33,375
"441","North Central",2010,7,19
"442","North Central",2009,7,13
"443","North Central",2001,7,11
"444","North Central",2008,7,14
"445","North Central",2000,7,15
"446","North Central",2006,7,8
"447","North Central",2003,7,15
"448","North Central",2007,7,13
"449","North Central",2004,7,9
"450","North Central",2002,7,10
"451","North Central",2005,7,10
"452","South",2000,42,509
"453","South",2006,46,520
"454","South",2008,48,521
"455","South",2001,43,460
"456","South",2010,50,538
"457","South",2005,46,512
"458","South",2004,45,493
"459","South",2007,47,505
"460","South",2009,49,554
"461","South",2003,44,490
"462","South",2002,43,475
"463","South",2003,130,1552
"464","South",2009,148,1810
"465","South",2000,122,1511
"466","South",2002,127,1535
"467","South",2008,145,1805
"468","South",2004,133,1579
"469","South",2001,125,1611
"470","South",2006,139,1724
"471","South",2007,142,1774
"472","South",2010,152,1884
"473","South",2005,136,1708
"474","West",2009,13,62
"475","West",2003,12,53
"476","West",2007,13,42
"477","West",2004,12,48
"478","West",2001,12,46
"479","West",2006,12,50
"480","West",2002,12,54
"481","West",2008,13,64
"482","West",2000,12,51
"483","West",2005,12,53
"484","West",2010,13,60
"485","Northeast",2002,5,25
"486","Northeast",2008,5,19
"487","Northeast",2004,5,26
"488","Northeast",2001,5,19
"489","Northeast",2006,5,29
"490","Northeast",2003,5,26
"491","Northeast",2007,5,29
"492","Northeast",2000,5,24
"493","Northeast",2005,5,30
"494","Northeast",2010,5,12
"495","Northeast",2009,5,29
"496","South",2003,52,508
"497","South",2000,50,495
"498","South",2006,54,532
"499","South",2002,51,522
"500","South",2008,56,562
"501","South",2004,53,504
"502","South",2001,51,490
"503","South",2010,57,551
"504","South",2007,55,570
"505","South",2009,57,543
"506","South",2005,54,545
"507","West",2003,37,169
"508","West",2006,37,161
"509","West",2002,36,183
"510","West",2004,37,172
"511","West",2001,36,154
"512","West",2005,37,137
"513","West",2000,36,154
"514","West",2008,38,179
"515","West",2009,38,165
"516","West",2010,38,156
"517","West",2007,38,171
"518","South",2008,20,118
"519","South",2003,19,126
"520","South",2004,19,129
"521","South",2005,19,129
"522","South",2006,20,142
"523","South",2002,19,113
"524","South",2007,20,137
"525","South",2009,20,132
"526","South",2001,18,138
"527","South",2000,18,127
"528","South",2010,21,165
"529","North Central",2009,49,161
"530","North Central",2003,47,129
"531","North Central",2008,49,156
"532","North Central",2002,47,127
"533","North Central",2001,46,140
"534","North Central",2007,48,152
"535","North Central",2000,46,150
"536","North Central",2006,48,180
"537","North Central",2005,48,149
"538","North Central",2004,47,140
"539","North Central",2010,49,158
"540","West",2008,4,32
"541","West",2002,4,24
"542","West",2007,4,35
"543","West",2001,4,36
"544","West",2009,4,30
"545","West",2006,4,25
"546","West",2005,4,29
"547","West",2000,4,28
"548","West",2003,4,21
"549","West",2004,4,40
"550","West",2010,4,25
